t,if,il,vl
0.5400,5.0000,5.0000,0.0000
0.5500,5.0000,5.0000,0.0000
0.5600,5.0000,5.0000,0.0000
0.5700,5.0000,5.0000,0.0000
0.5800,5.0000,5.0000,0.0000
0.5900,5.0000,5.0000,0.0000
0.6000,5.0000,5.0000,0.0000
0.6100,5.0000,5.0000,0.0000
0.6200,5.0000,5.0000,0.0000
0.6300,5.0000,5.0000,0.0000
0.6400,5.0000,5.0000,0.0000
0.6500,5.0000,5.0000,0.0000
0.6600,5.0000,5.0000,0.0000
0.6700,5.0000,5.0000,0.0000
0.6800,5.0000,5.0000,0.0000
0.6900,5.0000,5.0000,0.0000
0.7000,5.0000,5.0000,0.0000
0.7100,5.0000,5.0000,0.0000
0.7200,5.0000,5.0000,0.0000
0.7300,5.0000,5.0000,0.0000
0.7400,5.0000,5.0000,0.0000
0.7500,5.0000,5.0000,0.0000
0.7600,5.0000,5.0000,0.0000
0.7700,5.0000,5.0000,0.0000
0.7800,5.0000,5.0000,0.0000
0.7900,5.0000,5.0000,0.0000
0.8000,5.0000,5.0000,0.0000
0.8100,5.0000,5.0000,0.0000
0.8200,5.0000,5.0000,0.0000
0.8300,5.0000,5.0000,0.0000
0.8400,5.0000,5.0000,0.0000
0.8500,5.0000,5.0000,0.0000
0.8600,5.0000,5.0000,0.0000
0.8700,5.0000,5.0000,0.0000
0.8800,5.0000,5.0000,0.0000
0.8900,5.0000,5.0000,0.0000
0.9000,5.0000,5.0000,0.0000
0.9100,5.0000,5.0000,0.0000
0.9200,5.0000,5.0000,0.0000
0.9300,5.0000,5.0000,0.0000
0.9400,5.0000,5.0000,0.0000
0.9500,5.0000,5.0000,0.0000
0.9600,5.0000,5.0000,0.0000
0.9700,5.0000,5.0000,0.0000
0.9800,5.0000,5.0000,0.0000
0.9900,5.0000,5.0000,0.0000
1.0000,10.0000,5.0000,5.0000
1.0100,10.0000,5.0498,4.9502
1.0200,10.0000,5.0990,4.9010
1.0300,10.0000,5.1478,4.8522
1.0400,10.0000,5.1961,4.8039
1.0500,10.0000,5.2439,4.7561
1.0600,10.0000,5.2912,4.7088
1.0700,10.0000,5.3380,4.6620
1.0800,10.0000,5.3844,4.6156
1.0900,10.0000,5.4303,4.5697
1.1000,10.0000,5.4758,4.5242
1.1100,10.0000,5.5208,4.4792
1.1200,10.0000,5.5654,4.4346
1.1300,10.0000,5.6095,4.3905
1.1400,10.0000,5.6532,4.3468
1.1500,10.0000,5.6965,4.3035
1.1600,10.0000,5.7393,4.2607
1.1700,10.0000,5.7817,4.2183
1.1800,10.0000,5.8236,4.1764
1.1900,10.0000,5.8652,4.1348
1.2000,10.0000,5.9063,4.0937
1.2100,10.0000,5.9471,4.0529
1.2200,10.0000,5.9874,4.0126
1.2300,10.0000,6.0273,3.9727
1.2400,10.0000,6.0669,3.9331
1.2500,10.0000,6.1060,3.8940
1.2600,10.0000,6.1447,3.8553
1.2700,10.0000,6.1831,3.8169
1.2800,10.0000,6.2211,3.7789
1.2900,10.0000,6.2587,3.7413
1.3000,10.0000,6.2959,3.7041
1.3100,10.0000,6.3328,3.6672
1.3200,10.0000,6.3693,3.6307
1.3300,10.0000,6.4054,3.5946
1.3400,10.0000,6.4411,3.5589
1.3500,10.0000,6.4766,3.5234
1.3600,10.0000,6.5116,3.4884
1.3700,10.0000,6.5463,3.4537
1.3800,10.0000,6.5807,3.4193
1.3900,10.0000,6.6147,3.3853
1.4000,10.0000,6.6484,3.3516
1.4100,10.0000,6.6817,3.3183
1.4200,10.0000,6.7148,3.2852
1.4300,10.0000,6.7475,3.2525
1.4400,10.0000,6.7798,3.2202
1.4500,10.0000,6.8119,3.1881
1.4600,10.0000,6.8436,3.1564
